0.0,8.0|-63,-60,-60,-59,-64|-51,-49,-47,-48,-53|-64,-62,-67,-61,-66|-67,-66,-64,-63,-68|-59,-57,-58,-56,-61|-65,-63,-64,-62,-66
6.0,4.0|-63,-61,-65,-63,-64|-64,-63,-64,-65,-65|-58,-56,-58,-59,-59|-62,-59,-61,-61,-62|-62,-60,-61,-62,-62|-65,-61,-63,-63,-64
0.0,10.0|-69,-64,-67,-65,-65|-19,-24,-25,-25,-25|-60,-65,-69,-66,-66|-62,-67,-70,-68,-68|-53,-58,-61,-59,-59|-59,-64,-67,-65,-65
2.0,8.0|-61,-59,-63,-67,-65|-52,-53,-54,-58,-56|-61,-59,-64,-67,-65|-63,-62,-66,-69,-68|-54,-55,-56,-60,-58|-61,-59,-63,-67,-65
2.0,0.0|-55,-51,-50,-50,-57|-69,-65,-64,-64,-71|-58,-55,-53,-54,-60|-67,-63,-62,-64,-69|-69,-66,-64,-64,-71|-71,-67,-66,-66,-73
4.0,2.0|-60,-60,-63,-58,-59|-66,-66,-69,-64,-65|-54,-54,-58,-53,-53|-63,-63,-66,-61,-62|-65,-65,-68,-63,-64|-67,-67,-70,-65,-66
8.0,6.0|-62,-66,-68,-59,-65|-61,-65,-67,-58,-64|-59,-62,-65,-55,-62|-58,-62,-64,-55,-61|-56,-60,-62,-53,-49|-55,-59,-61,-52,-59
10.0,4.0|-66,-67,-65,-65,-71|-67,-69,-65,-66,-71|-62,-63,-60,-61,-66|-58,-59,-56,-57,-62|-64,-64,-64,-62,-68|-61,-62,-60,-60,-66
6.6,6.6|-23,-45,-63,-32,-65|-13,-12,-94,-58,-106|-66,-66,-666,-66,-66|-55,-55,-55,-55,-55|-77,-77,-777,-77,-77|-21,-59,-33,-67,-121
6.0,6.0|-64,-65,-63,-64,-63|-62,-64,-61,-62,-61|-61,-62,-60,-61,-60|-62,-64,-61,-62,-61|-57,-59,-57,-57,-57|-60,-62,-59,-60,-59
0.0,0.0|-27,-30,-29,-25,-23|-67,-70,-68,-65,-63|-61,-65,-63,-59,-57|-67,-71,-68,-65,-63|-68,-71,-69,-66,-64|-70,-73,-72,-68,-66
