X,Y,A1,A2,A3,A4,A5,A6
0.0,0.0,-26.8,-66.6,-61.0,-66.8,-67.6,-69.8
0.0,2.0,-51.4,-63.2,-59.8,-65.4,-64.6,-67.4
0.0,4.0,-56.8,-60.4,-60.6,-65.4,-62.4,-66.0
0.0,6.0,-61.4,-58.2,-64.4,-67.2,-62.0,-66.4
0.0,8.0,-61.2,-49.6,-64.0,-65.6,-58.2,-64.0
0.0,10.0,-66.0,-23.6,-65.2,-67.0,-58.0,-64.0
2.0,0.0,-52.6,-66.6,-56.0,-65.0,-66.8,-68.6
2.0,2.0,-54.4,-63.2,-56.4,-62.6,-63.8,-66.2
2.0,4.0,-58.2,-61.2,-59.2,-64.2,-61.8,-65.2
2.0,6.0,-62.0,-59.2,-61.6,-65.6,-60.0,-64.8
2.0,8.0,-63.0,-54.6,-63.2,-65.6,-56.6,-63.0
2.0,10.0,-64.8,-51.2,-65.2,-66.6,-54.2,-62.6
4.0,0.0,-57.2,-66.0,-46.6,-61.2,-65.8,-66.8
4.0,2.0,-60.0,-66.0,-54.4,-63.0,-65.0,-67.0
4.0,4.0,-61.8,-63.0,-58.2,-63.0,-61.8,-64.4
4.0,6.0,-62.6,-61.6,-61.2,-64.0,-58.0,-62.6
4.0,8.0,-62.8,-56.8,-61.8,-63.0,-51.6,-59.8
4.0,10.0,-64.4,-56.6,-64.4,-65.6,-44.8,-59.6
6.0,0.0,-60.2,-66.0,-45.2,-57.4,-64.4,-66.0
6.0,2.0,-61.2,-65.2,-52.2,-58.2,-63.2,-63.4
6.0,4.0,-63.2,-64.2,-58.0,-61.0,-61.4,-63.2
6.0,6.0,-63.8,-62.0,-60.8,-62.0,-57.4,-60.0
6.0,8.0,-64.6,-60.6,-62.2,-64.0,-52.2,-57.6
6.0,10.0,-65.2,-59.6,-64.0,-64.6,-44.6,-56.2
8.0,0.0,-65.8,-70.0,-57.6,-54.0,-68.0,-67.8
8.0,2.0,-65.8,-68.0,-58.8,-56.2,-65.8,-66.0
8.0,4.0,-63.4,-64.6,-58.4,-57.8,-60.6,-60.4
8.0,6.0,-64.0,-63.0,-60.6,-60.0,-56.0,-57.2
8.0,8.0,-66.4,-63.4,-63.6,-63.4,-56.4,-54.4
8.0,10.0,-69.0,-65.0,-68.0,-67.6,-56.8,-53.0
10.0,0.0,-64.8,-67.8,-59.0,-24.8,-65.8,-65.2
10.0,2.0,-63.8,-65.8,-58.4,-50.2,-64.2,-61.8
10.0,4.0,-66.8,-67.6,-62.4,-58.4,-64.4,-61.8
10.0,6.0,-63.2,-63.0,-60.0,-58.0,-58.2,-54.2
10.0,8.0,-65.0,-63.0,-62.2,-61.0,-57.4,-49.0
10.0,10.0,-68.4,-65.4,-66.4,-65.4,-59.4,-25.8
1.0,0.0,-39.7,-66.6,-58.5,-65.9,-67.19999999999999,-69.19999999999999
1.0,2.0,-52.9,-63.2,-58.099999999999994,-64.0,-64.19999999999999,-66.80000000000001
1.0,4.0,-57.5,-60.8,-59.900000000000006,-64.80000000000001,-62.099999999999994,-65.6
1.0,6.0,-61.7,-58.7,-63.0,-66.4,-61.0,-65.6
1.0,8.0,-62.1,-52.1,-63.6,-65.6,-57.400000000000006,-63.5
1.0,10.0,-65.4,-37.400000000000006,-65.2,-66.8,-56.1,-63.3
3.0,0.0,-54.900000000000006,-66.3,-51.3,-63.1,-66.3,-67.69999999999999
3.0,2.0,-57.2,-64.6,-55.4,-62.8,-64.4,-66.6
3.0,4.0,-60.0,-62.1,-58.7,-63.6,-61.8,-64.80000000000001
3.0,6.0,-62.3,-60.400000000000006,-61.400000000000006,-64.8,-59.0,-63.7
3.0,8.0,-62.9,-55.7,-62.5,-64.3,-54.1,-61.4
3.0,10.0,-64.6,-53.900000000000006,-64.80000000000001,-66.1,-49.5,-61.1
5.0,0.0,-58.7,-66.0,-45.900000000000006,-59.3,-65.1,-66.4
5.0,2.0,-60.6,-65.6,-53.3,-60.6,-64.1,-65.2
5.0,4.0,-62.5,-63.6,-58.1,-62.0,-61.599999999999994,-63.800000000000004
5.0,6.0,-63.2,-61.8,-61.0,-63.0,-57.7,-61.3
5.0,8.0,-63.699999999999996,-58.7,-62.0,-63.5,-51.900000000000006,-58.7
5.0,10.0,-64.80000000000001,-58.1,-64.2,-65.1,-44.7,-57.900000000000006
7.0,0.0,-63.0,-68.0,-51.400000000000006,-55.7,-66.2,-66.9
7.0,2.0,-63.5,-66.6,-55.5,-57.2,-64.5,-64.7
7.0,4.0,-63.3,-64.4,-58.2,-59.4,-61.0,-61.8
7.0,6.0,-63.9,-62.5,-60.7,-61.0,-56.7,-58.6
7.0,8.0,-65.5,-62.0,-62.900000000000006,-63.7,-54.3,-56.0
7.0,10.0,-67.1,-62.3,-66.0,-66.1,-50.7,-54.6
9.0,0.0,-65.3,-68.9,-58.3,-39.4,-66.9,-66.5
9.0,2.0,-64.8,-66.9,-58.599999999999994,-53.2,-65.0,-63.9
9.0,4.0,-65.1,-66.1,-60.4,-58.099999999999994,-62.5,-61.099999999999994
9.0,6.0,-63.6,-63.0,-60.3,-59.0,-57.1,-55.7
9.0,8.0,-65.7,-63.2,-62.900000000000006,-62.2,-56.9,-51.7
9.0,10.0,-68.7,-65.2,-67.2,-66.5,-58.099999999999994,-39.4
0.0,1.0,-39.1,-64.9,-60.4,-66.1,-66.1,-68.6
0.0,3.0,-54.099999999999994,-61.8,-60.2,-65.4,-63.5,-66.7
0.0,5.0,-59.099999999999994,-59.3,-62.5,-66.30000000000001,-62.2,-66.2
0.0,7.0,-61.3,-53.900000000000006,-64.2,-66.4,-60.1,-65.2
0.0,9.0,-63.6,-36.6,-64.6,-66.3,-58.1,-64.0
1.0,1.0,-46.3,-64.9,-58.3,-64.95,-65.69999999999999,-68.0
1.0,3.0,-55.2,-62.0,-59.0,-64.4,-63.14999999999999,-66.2
1.0,5.0,-59.6,-59.75,-61.45,-65.60000000000001,-61.55,-65.6
1.0,7.0,-61.900000000000006,-55.400000000000006,-63.3,-66.0,-59.2,-64.55
1.0,9.0,-63.75,-44.75,-64.4,-66.19999999999999,-56.75,-63.4
2.0,1.0,-53.5,-64.9,-56.2,-63.8,-65.3,-67.4
2.0,3.0,-56.3,-62.2,-57.8,-63.400000000000006,-62.8,-65.7
2.0,5.0,-60.1,-60.2,-60.400000000000006,-64.9,-60.9,-65.0
2.0,7.0,-62.5,-56.900000000000006,-62.400000000000006,-65.6,-58.3,-63.9
2.0,9.0,-63.9,-52.900000000000006,-64.2,-66.1,-55.400000000000006,-62.8
3.0,1.0,-56.050000000000004,-65.44999999999999,-53.349999999999994,-62.95,-65.35,-67.14999999999999
3.0,3.0,-58.6,-63.349999999999994,-57.05,-63.2,-63.1,-65.7
3.0,5.0,-61.15,-61.25,-60.050000000000004,-64.2,-60.4,-64.25
3.0,7.0,-62.599999999999994,-58.050000000000004,-61.95,-64.55,-56.55,-62.55
3.0,9.0,-63.75,-54.800000000000004,-63.650000000000006,-65.19999999999999,-51.8,-61.25
4.0,1.0,-58.6,-66.0,-50.5,-62.1,-65.4,-66.9
4.0,3.0,-60.9,-64.5,-56.3,-63.0,-63.4,-65.7
4.0,5.0,-62.2,-62.3,-59.7,-63.5,-59.9,-63.5
4.0,7.0,-62.7,-59.2,-61.5,-63.5,-54.8,-61.2
4.0,9.0,-63.6,-56.7,-63.1,-64.3,-48.2,-59.7
5.0,1.0,-59.650000000000006,-65.8,-49.6,-59.95,-64.6,-65.80000000000001
5.0,3.0,-61.55,-64.6,-55.7,-61.3,-62.849999999999994,-64.5
5.0,5.0,-62.85,-62.7,-59.55,-62.5,-59.65,-62.55
5.0,7.0,-63.45,-60.25,-61.5,-63.25,-54.800000000000004,-60.0
5.0,9.0,-64.25,-58.400000000000006,-63.1,-64.3,-48.300000000000004,-58.300000000000004
6.0,1.0,-60.7,-65.6,-48.7,-57.8,-63.800000000000004,-64.7
6.0,3.0,-62.2,-64.7,-55.1,-59.6,-62.3,-63.3
6.0,5.0,-63.5,-63.1,-59.4,-61.5,-59.4,-61.6
6.0,7.0,-64.19999999999999,-61.3,-61.5,-63.0,-54.8,-58.8
6.0,9.0,-64.9,-60.1,-63.1,-64.3,-48.400000000000006,-56.900000000000006
7.0,1.0,-63.25,-67.3,-53.45,-56.45,-65.35,-65.80000000000001
7.0,3.0,-63.4,-65.5,-56.85,-58.3,-62.75,-63.25
7.0,5.0,-63.599999999999994,-63.45,-59.45,-60.2,-58.85,-60.2
7.0,7.0,-64.7,-62.25,-61.800000000000004,-62.35,-55.5,-57.3
7.0,9.0,-66.3,-62.15,-64.45,-64.9,-52.5,-55.3
8.0,1.0,-65.8,-69.0,-58.2,-55.1,-66.9,-66.9
8.0,3.0,-64.6,-66.3,-58.599999999999994,-57.0,-63.2,-63.2
8.0,5.0,-63.7,-63.8,-59.5,-58.9,-58.3,-58.8
8.0,7.0,-65.2,-63.2,-62.1,-61.7,-56.2,-55.8
8.0,9.0,-67.7,-64.2,-65.8,-65.5,-56.599999999999994,-53.7
9.0,1.0,-65.05,-67.9,-58.449999999999996,-46.3,-65.95,-65.2
9.0,3.0,-64.94999999999999,-66.5,-59.5,-55.65,-63.75,-62.5
9.0,5.0,-64.35,-64.55,-60.349999999999994,-58.55,-59.8,-58.4
9.0,7.0,-64.65,-63.1,-61.6,-60.6,-57.0,-53.7
9.0,9.0,-67.2,-64.2,-65.05000000000001,-64.35,-57.5,-45.55
10.0,1.0,-64.3,-66.8,-58.7,-37.5,-65.0,-63.5
10.0,3.0,-65.3,-66.69999999999999,-60.4,-54.3,-64.30000000000001,-61.8
10.0,5.0,-65.0,-65.3,-61.2,-58.2,-61.300000000000004,-58.0
10.0,7.0,-64.1,-63.0,-61.1,-59.5,-57.8,-51.6
10.0,9.0,-66.7,-64.2,-64.30000000000001,-63.2,-58.4,-37.4
